"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Surface area (sq. km)","AG.SRF.TOTL.K2","","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","","",
"American Samoa","ASM","Surface area (sq. km)","AG.SRF.TOTL.K2","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","","",
"Antigua and Barbuda","ATG","Surface area (sq. km)","AG.SRF.TOTL.K2","","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","","",
"Australia","AUS","Surface area (sq. km)","AG.SRF.TOTL.K2","","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","","",
"Austria","AUT","Surface area (sq. km)","AG.SRF.TOTL.K2","","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","","",
"Azerbaijan","AZE","Surface area (sq. km)","AG.SRF.TOTL.K2","","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","","",
"Burundi","BDI","Surface area (sq. km)","AG.SRF.TOTL.K2","","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","","",
"Belgium","BEL","Surface area (sq. km)","AG.SRF.TOTL.K2","","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30528","30688","30689","30689","30689","30689","30689","","",
"Benin","BEN","Surface area (sq. km)","AG.SRF.TOTL.K2","","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","114760","","",
"Burkina Faso","BFA","Surface area (sq. km)","AG.SRF.TOTL.K2","","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274220","274200","274200","274200","274200","274200","","",
"Bangladesh","BGD","Surface area (sq. km)","AG.SRF.TOTL.K2","","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","148460","147630","147630","147630","147977","147570","147570","147570","147570","147570","147570","","",
"Bulgaria","BGR","Surface area (sq. km)","AG.SRF.TOTL.K2","","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","110990","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","111000","110996.758","","",
"Bahrain","BHR","Surface area (sq. km)","AG.SRF.TOTL.K2","","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","710","710","710","710","710","710","710","710","710","710","710","720","730","740","740","750","760","760","762","767","770","770","771","778","779","780","780","783","785","790","790","800","","",
"Bahamas, The","BHS","Surface area (sq. km)","AG.SRF.TOTL.K2","","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","","",
"Bosnia and Herzegovina","BIH","Surface area (sq. km)","AG.SRF.TOTL.K2","","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","51210","","",
"Belarus","BLR","Surface area (sq. km)","AG.SRF.TOTL.K2","","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207600","207610","207630","207630","207629","","",
"Belize","BLZ","Surface area (sq. km)","AG.SRF.TOTL.K2","","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22970","22966","","",
"Bermuda","BMU","Surface area (sq. km)","AG.SRF.TOTL.K2","","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","4290","4290","4290","4290","4290","4290","4290","4290","4290","4290","4290","","",
"Bolivia","BOL","Surface area (sq. km)","AG.SRF.TOTL.K2","","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","1098580","","",
"Brazil","BRA","Surface area (sq. km)","AG.SRF.TOTL.K2","","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8515770","8510420","8510420","","",
"Barbados","BRB","Surface area (sq. km)","AG.SRF.TOTL.K2","","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","","",
"Brunei Darussalam","BRN","Surface area (sq. km)","AG.SRF.TOTL.K2","","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","5770","","",
"Bhutan","BTN","Surface area (sq. km)","AG.SRF.TOTL.K2","","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","40077","40077","40077","40077","40077","40077","40077","40077","40077","40077","38394","38394","38394","38394","38394","38394","38394","38394","38394","38394","38394","38394","38394","38394","38390","38390","38390","38390","38390","38390","","",
"Botswana","BWA","Surface area (sq. km)","AG.SRF.TOTL.K2","","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","581730","","",
"Central African Republic","CAF","Surface area (sq. km)","AG.SRF.TOTL.K2","","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","","",
"Canada","CAN","Surface area (sq. km)","AG.SRF.TOTL.K2","","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15640500","15634410","15634410","15634410","","",
"Central Europe and the Baltics","CEB","Surface area (sq. km)","AG.SRF.TOTL.K2","","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1134934","1135004","1135004","1134934","1134934","1134934","1134934","1134934","1134988","1134994","1134994","1134984","1134984","1134989","1134994","1134991","1134990","1134990","1166998","1166978","1166978","1166978","1166783","1166797","1166797.04","1166811.01","1166811.04","1166817.47","1168028.188","","",
"Switzerland","CHE","Surface area (sq. km)","AG.SRF.TOTL.K2","","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","41290.7","","",
"Channel Islands","CHI","Surface area (sq. km)","AG.SRF.TOTL.K2","","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","","","","",
"Chile","CHL","Surface area (sq. km)","AG.SRF.TOTL.K2","","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756700","756700","756700","757244.88","757244.88","757244.88","757244.88","757244.88","","",
"China","CHN","Surface area (sq. km)","AG.SRF.TOTL.K2","","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562950","9562940","9562930","9562930","9562930","9562930","9562920","9562914.2","9562913.2","9562912.7","9562912.5","9562911.8","9562911.4","9562910.8","9562910.8","9562911","9562911","9562911","9562911","9562911","9562911","9562911","9562910","9562910","9562910","9562910","9562910","9562910","9562910","9562910","","",
"Cote d'Ivoire","CIV","Surface area (sq. km)","AG.SRF.TOTL.K2","","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","","",
"Cameroon","CMR","Surface area (sq. km)","AG.SRF.TOTL.K2","","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","","",
"Congo, Dem. Rep.","COD","Surface area (sq. km)","AG.SRF.TOTL.K2","","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","","",
"Congo, Rep.","COG","Surface area (sq. km)","AG.SRF.TOTL.K2","","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","","",
"Colombia","COL","Surface area (sq. km)","AG.SRF.TOTL.K2","","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141748","1141749","1141749","1141749","1141749","1141749","1141750","1141750","1140619.05","1140619.05","1140619.05","1140619.1","","",
"Comoros","COM","Surface area (sq. km)","AG.SRF.TOTL.K2","","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","","",
"Cabo Verde","CPV","Surface area (sq. km)","AG.SRF.TOTL.K2","","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","","",
"Costa Rica","CRI","Surface area (sq. km)","AG.SRF.TOTL.K2","","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","","",
"Caribbean small states","CSS","Surface area (sq. km)","AG.SRF.TOTL.K2","","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424090","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","424000","423996","","",
"Cuba","CUB","Surface area (sq. km)","AG.SRF.TOTL.K2","","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109880","109880","109880","109880","109880","109880","109880","109880","109880","109880","109880","109880","109880","109880","","",
"Curacao","CUW","Surface area (sq. km)","AG.SRF.TOTL.K2","","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","","",
"Cayman Islands","CYM","Surface area (sq. km)","AG.SRF.TOTL.K2","","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","","",
"Cyprus","CYP","Surface area (sq. km)","AG.SRF.TOTL.K2","","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9251","9251","9251","9251","9250","9250","9250","9250","9250","9250","","",
"Czechia","CZE","Surface area (sq. km)","AG.SRF.TOTL.K2","","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870.04","78871.01","78871.04","78871.47","78871.43","","",
